,vehicle_speed,throttle_percentage,acc_calculated
281,6.19235,0.1,0.001638889
282,6.19263,0.1,0.0015
283,6.19289,0.1,0.001361111
284,6.19312,0.1,0.001222222
285,6.19333,0.1,0.002138889
286,6.19389,0.1,0.002972222
287,6.1944,0.1,0.002666667
288,6.19485,0.1,0.002416667
289,6.19527,0.1,0.002194444
290,6.19564,0.1,0.001972222
291,6.19598,0.1,0.001805556
292,6.19629,0.1,0.001638889
293,6.19657,0.1,0.001472222
294,6.19682,0.1,0.001333333
295,6.19705,0.1,0.001222222
296,6.19726,0.1,0.002138889
297,6.19782,0.1,0.002944444
298,6.19832,0.1,0.002666667
299,6.19878,0.1,0.002416667
300,6.19919,0.1,0.002166667
301,6.19956,0.1,0.001972222
302,6.1999,0.1,0.001805556
303,6.20021,0.1,0.001638889
304,6.20049,0.1,0.001472222
305,6.20074,0.1,0.001305556
306,6.20096,0.1,0.001194444
307,6.20117,0.1,0.001111111
308,6.20136,0.1,0.000972222
309,6.20152,0.1,0.000888889
310,6.20168,0.1,0.000805556
311,6.20181,0.1,0.000722222
312,6.20194,0.1,0.001694444
313,6.20242,0.1,0.002555556
314,6.20286,0.1,0.002333333
315,6.20326,0.1,0.002111111
316,6.20362,0.1,0.001888889
317,6.20394,0.1,0.001722222
318,6.20424,0.1,0.001555556
319,6.2045,0.1,0.001388889
320,6.20474,0.1,0.001277778
321,6.20496,0.1,0.001166667
322,6.20516,0.1,0.001055556
323,6.20534,0.1,0.000944444
324,6.2055,0.1,0.000833333
325,6.20564,0.1,0.000777778
326,6.20578,0.1,0.00175
327,6.20627,0.1,0.002583333
328,6.20671,0.1,0.002333333
329,6.20711,0.1,0.002138889
330,6.20748,0.1,0.001944444
331,6.20781,0.1,0.001722222
332,6.2081,0.1,0.001555556
333,6.20837,0.1,0.001444444
334,6.20862,0.1,0.001305556
335,6.20884,0.1,0.001166667
336,6.20904,0.1,0.001055556
337,6.20922,0.1,0.000944444
338,6.20938,0.1,0.000861111
339,6.20953,0.1,0.000777778
340,6.20966,0.1,0.000694444
341,6.20978,0.1,0.000638889
342,6.20989,0.1,0.001638889
343,6.21037,0.1,0.0025
344,6.21079,0.1,0.00225
345,6.21118,0.1,0.002055556
346,6.21153,0.1,0.001833333
347,6.21184,0.1,0.001666667
348,6.21213,0.1,0.001527778
349,6.21239,0.1,0.001361111
350,6.21262,0.1,0.001222222
351,6.21283,0.1,0.001111111
352,6.21302,0.1,0.001027778
353,6.2132,0.1,0.000916667
354,6.21335,0.1,0.000805556
355,6.21349,0.1,0.001777778
356,6.21399,0.1,0.002666667
357,6.21445,0.1,0.002416667
358,6.21486,0.1,0.002166667
359,6.21523,0.1,0.001944444
360,6.21556,0.1,0.001777778
361,6.21587,0.1,0.001611111
362,6.21614,0.1,0.001444444
363,6.21639,0.1,0.001305556
364,6.21661,0.1,0.001194444
365,6.21682,0.1,0.002111111
366,6.21737,0.1,0.002916667
367,6.21787,0.1,0.002666667
368,6.21833,0.1,0.002416667
369,6.21874,0.1,0.002166667
370,6.21911,0.1,0.001972222
371,6.21945,0.1,0.001805556
372,6.21976,0.1,0.001611111
373,6.22003,0.1,0.001444444
374,6.22028,0.1,0.001333333
375,6.22051,0.1,0.001194444
376,6.22071,0.1,0.001083333
377,6.2209,0.1,0.000972222
378,6.22106,0.1,0.001916667
379,6.22159,0.1,0.002777778
380,6.22206,0.1,0.0025
381,6.22249,0.1,0.002277778
382,6.22288,0.1,0.002055556
383,6.22323,0.1,0.001833333
384,6.22354,0.1,0.001666667
385,6.22383,0.1,0.001527778
386,6.22409,0.1,0.001388889
387,6.22433,0.1,0.00125
388,6.22454,0.1,0.001111111
389,6.22473,0.1,0.001027778
390,6.22491,0.1,0.000916667
391,6.22506,0.1,0.000833333
392,6.22521,0.1,0.001805556
393,6.22571,0.1,0.002638889
394,6.22616,0.1,0.002388889
395,6.22657,0.1,0.002166667
396,6.22694,0.1,0.001972222
397,6.22728,0.1,0.001777778
398,6.22758,0.1,0.001583333
399,6.22785,0.1,0.001444444
400,6.2281,0.1,0.001333333
401,6.22833,0.1,0.001194444
402,6.22853,0.1,0.001083333
403,6.22872,0.1,0.000972222
404,6.22888,0.1,0.000861111
405,6.22903,0.1,0.000805556
406,6.22917,0.1,0.000722222
407,6.22929,0.1,0.000638889
408,6.2294,0.1,0.001638889
409,6.22988,0.1,0.002527778
410,6.23031,0.1,0.00225
411,6.23069,0.1,0.002027778
412,6.23104,0.1,0.001861111
413,6.23136,0.1,0.001694444
414,6.23165,0.1,0.001527778
415,6.23191,0.1,0.001361111
416,6.23214,0.1,0.001222222
417,6.23235,0.1,0.001138889
418,6.23255,0.1,0.001027778
419,6.23272,0.1,0.000916667
420,6.23288,0.1,0.000833333
421,6.23302,0.1,0.00075
422,6.23315,0.1,0.000694444
423,6.23327,0.1,0.001638889
424,6.23374,0.1,0.0025
425,6.23417,0.1,0.002277778
426,6.23456,0.1,0.002083333
427,6.23492,0.1,0.001888889
428,6.23524,0.1,0.000888889
429,6.23524,0.1,0.000805556
430,6.23553,0.1,0.001527778
431,6.23579,0.1,0.001388889
432,6.23603,0.1,0.00125
433,6.23624,0.1,0.001111111
434,6.23643,0.1,0.001027778
435,6.23661,0.1,0.000944444
436,6.23677,0.1,0.000833333
437,6.23691,0.1,0.00075
438,6.23704,0.1,0.000694444
439,6.23716,0.1,0.000638889
440,6.23727,0.1,0.000555556
441,6.23736,0.1,0.001527778
442,6.23782,0.1,0.002444444
443,6.23824,0.1,0.002194444
444,6.23861,0.1,0.001972222
445,6.23895,0.1,0.001805556
446,6.23926,0.1,0.001638889
447,6.23954,0.1,0.001472222
448,6.23979,0.1,0.001333333
449,6.24002,0.1,0.001222222
450,6.24023,0.1,0.001083333
451,6.24041,0.1,0.000972222
452,4.13039,0.15,1.031277778
453,4.30675,0.15,0.937305556
